LOGRECNO,GEOID,Population 15 years and over in the United States,Median income 
10826,86000US01612,3928,34662
10827,86000US01701,25613,39373
10828,86000US01702,31279,25783
10829,86000US01718,259,69500
10830,86000US01719,4216,63158
10831,86000US01720,17051,52976
10832,86000US01721,13945,47294
10833,86000US01730,10892,47086
10834,86000US01731,909,44879
10835,86000US01740,3774,54099
10836,86000US01741,3834,65707
10837,86000US01742,15127,52304
10838,86000US01745,283,42228
10839,86000US01746,10711,46163
10840,86000US01747,4718,42282
10841,86000US01748,11195,57819
10842,86000US01749,15992,34279
10843,86000US01752,31899,34522
10844,86000US01754,8198,36766
10845,86000US01756,4617,41935
10846,86000US01757,22460,33373
10847,86000US01760,26918,48820
10848,86000US01770,3270,63827
10849,86000US01772,7331,56807
10850,86000US01773,3924,62720
10851,86000US01775,4984,47214
10852,86000US01776,13441,67341
10853,86000US01778,10591,54585
10854,86000US01801,32776,37230
10855,86000US01803,20563,41481
10856,86000US01810,26516,50130
10857,86000US01821,24922,38429
10858,86000US01824,20006,46789
10859,86000US01826,24324,36055
10860,86000US01827,2613,51687
10861,86000US01830,20771,29713
10862,86000US01832,17757,30054
10863,86000US01833,6518,45971
10864,86000US01834,5525,37268
10865,86000US01835,10883,32937
10866,86000US01840,3641,13551
10867,86000US01841,36418,16616
10868,86000US01843,18912,22134
10869,86000US01844,38263,31470
10870,86000US01845,22918,40317
10871,86000US01850,12367,25203
10872,86000US01851,23984,26365
10873,86000US01852,27122,27155
10874,86000US01854,23665,18661
10875,86000US01860,5299,36770
10876,86000US01862,8795,33231
10877,86000US01863,7613,40631
10878,86000US01864,12233,45794
10879,86000US01867,19238,47770
10880,86000US01876,23883,42716
10881,86000US01879,9631,40379
10882,86000US01880,20695,43133
10883,86000US01886,17196,55850
10884,86000US01887,17793,39353
10885,86000US01890,16250,56136
10886,86000US01901,1713,20417
10887,86000US01902,35279,21724
10888,86000US01904,15620,36038
10889,86000US01905,19295,23453
10890,86000US01906,23156,33700
10891,86000US01907,11391,44915
10892,86000US01908,3007,42326
10893,86000US01913,13675,38299
10894,86000US01915,33717,32359
10895,86000US01921,6393,53176
10896,86000US01922,2414,42621
10897,86000US01923,21954,37644
10898,86000US01929,3075,32922
10899,86000US01930,24754,28634
10900,86000US01937,89,12578
10901,86000US01938,11185,37021
10902,86000US01940,10096,43556
10903,86000US01944,4147,53333
10904,86000US01945,15666,50155
10905,86000US01949,7647,36307
10906,86000US01950,14542,42630
10907,86000US01951,3098,41278
10908,86000US01952,7336,32893
10909,86000US01960,43820,32171
10910,86000US01966,6047,34986
10911,86000US01969,4640,39509
10912,86000US01970,35602,28446
10913,86000US01982,6225,41633
10914,86000US01983,4932,52227
10915,86000US01984,4357,19806
