LOGRECNO,GEOID,Population 15 years and over in the United States,Median income 
16337,86000US18822,2886,22776
16338,86000US18823,144,21458
16339,86000US18824,1105,25821
16340,86000US18825,120,14196
16341,86000US18826,1381,25345
16342,86000US18828,213,21319
16343,86000US18829,632,26500
16344,86000US18830,698,27159
16345,86000US18831,837,23984
16346,86000US18832,1560,23285
16347,86000US18833,1591,22813
16348,86000US18834,3049,25963
16349,86000US18837,2447,24778
16350,86000US18840,9130,25444
16351,86000US18842,195,21389
16352,86000US18843,129,31384
16353,86000US18844,1584,23864
16354,86000US18845,290,24519
16355,86000US18846,679,26726
16356,86000US18847,4762,21483
16357,86000US18848,7575,25324
16358,86000US18850,1774,25258
16359,86000US18851,674,20745
16360,86000US18853,3596,27647
16361,86000US18854,1118,25536
16362,86000US18901,23936,32851
16363,86000US18902,16105,44798
16364,86000US18912,8,.
16365,86000US18913,76,115192
16366,86000US18914,16514,43911
16367,86000US18915,740,44946
16368,86000US18917,1855,28385
16369,86000US18920,208,36591
16370,86000US18923,688,49655
16371,86000US18925,4883,52340
16372,86000US18929,6651,50239
16373,86000US18930,2061,41603
16374,86000US18932,376,39667
16375,86000US18935,21,.
16376,86000US18936,55,32750
16377,86000US18938,11860,49068
16378,86000US18940,23809,52497
16379,86000US18942,2968,32911
16380,86000US18944,20386,34545
16381,86000US18947,5305,40692
16382,86000US18950,183,51950
16383,86000US18951,27515,32033
16384,86000US18954,7832,43487
16385,86000US18955,1182,28056
16386,86000US18960,10633,29870
16387,86000US18962,509,33304
16388,86000US18964,11487,31313
16389,86000US18966,31974,36810
16390,86000US18969,11885,33418
16391,86000US18970,588,37870
16392,86000US18972,3055,26500
16393,86000US18974,33880,31563
16394,86000US18976,15459,38325
16395,86000US18977,3136,58036
16396,86000US18980,455,46096
16397,86000US19001,13812,33919
16398,86000US19002,26983,44093
16399,86000US19003,10424,41396
16400,86000US19004,7426,52063
16401,86000US19006,17598,38078
16402,86000US19007,16911,26057
16403,86000US19008,17052,32459
16404,86000US19009,860,21058
16405,86000US19010,17722,33329
16406,86000US19012,5464,39479
16407,86000US19013,28177,16514
16408,86000US19014,17272,32958
16409,86000US19015,13013,29199
16410,86000US19017,285,51917
16411,86000US19018,19240,32213
16412,86000US19020,46104,31598
16413,86000US19021,8539,28560
16414,86000US19022,2771,20986
16415,86000US19023,16735,23321
16416,86000US19025,4446,53553
16417,86000US19026,24481,35079
16418,86000US19027,16048,37723
16419,86000US19029,3140,28992
16420,86000US19030,10146,30341
16421,86000US19031,3846,40113
16422,86000US19032,5333,28275
16423,86000US19033,7182,33262
16424,86000US19034,4388,48914
16425,86000US19035,2838,80375
16426,86000US19036,10623,29950
16427,86000US19038,25688,34585
16428,86000US19040,16595,33993
16429,86000US19041,5384,38789
16430,86000US19043,1864,26892
16431,86000US19044,13312,36312
16432,86000US19046,14798,39895
16433,86000US19047,29744,34082
16434,86000US19050,23121,32224
16435,86000US19053,21412,33234
16436,86000US19054,14654,29868
16437,86000US19055,10846,31365
16438,86000US19056,12912,34055
16439,86000US19057,14657,30559
16440,86000US19060,9022,44518
16441,86000US19061,16297,27915
16442,86000US19063,29994,41739
16443,86000US19064,20033,38152
16444,86000US19066,4900,54396
16445,86000US19067,40735,42076
16446,86000US19070,5993,33808
16447,86000US19072,7610,54766
16448,86000US19073,15381,43858
16449,86000US19074,4860,32470
16450,86000US19075,5864,44836
16451,86000US19076,5318,30845
16452,86000US19078,9310,33067
16453,86000US19079,6819,21434
16454,86000US19081,8543,35339
16455,86000US19082,32059,22255
16456,86000US19083,28748,41248
16457,86000US19085,7592,11201
16458,86000US19086,9337,40675
16459,86000US19087,26639,47717
16460,86000US19090,15585,33986
16461,86000US19094,3483,27822
16462,86000US19095,6451,38159
16463,86000US19096,11203,54013
16464,86000US19102,3898,49200
16465,86000US19103,21579,49580
16466,86000US19104,47066,10906
16467,86000US19106,10823,55887
16468,86000US19107,11819,27466
16469,86000US19109,0,.
16470,86000US19111,54347,24791
16471,86000US19112,0,.
16472,86000US19113,112,32054
16473,86000US19114,25873,29543
16474,86000US19115,28486,27194
16475,86000US19116,26460,26684
16476,86000US19118,8267,43949
16477,86000US19119,24318,32519
16478,86000US19120,57127,17754
16479,86000US19121,27564,10431
16480,86000US19122,16498,11370
16481,86000US19123,11536,29004
16482,86000US19124,48613,16103
16483,86000US19125,19321,22088
16484,86000US19126,12871,21534
16485,86000US19127,5134,32718
16486,86000US19128,30595,36912
16487,86000US19129,10108,30551
16488,86000US19130,22998,40307
16489,86000US19131,36510,20306
16490,86000US19132,29133,15183
16491,86000US19133,19113,9786
16492,86000US19134,44878,14344
16493,86000US19135,25163,20905
16494,86000US19136,30619,24432
16495,86000US19137,7096,20631
16496,86000US19138,27711,19287
16497,86000US19139,33554,15608
16498,86000US19140,41879,13278
16499,86000US19141,26698,17007
16500,86000US19142,21638,17352
16501,86000US19143,53406,19939
16502,86000US19144,35856,19076
16503,86000US19145,37694,20995
16504,86000US19146,30250,26183
16505,86000US19147,30583,34536
16506,86000US19148,42546,20996
16507,86000US19149,40252,22560
16508,86000US19150,20108,27408
16509,86000US19151,25875,24769
16510,86000US19152,27407,26370
16511,86000US19153,10124,28866
16512,86000US19154,27061,29289
16513,86000US19301,5280,43983
16514,86000US19310,2257,29692
16515,86000US19311,6442,36688
16516,86000US19312,9037,47131
16517,86000US19316,94,53594
16518,86000US19317,7693,55929
16519,86000US19319,1068,2499
16520,86000US19320,41285,32483
16521,86000US19330,4480,35161
16522,86000US19333,5648,53600
16523,86000US19335,37244,41869
16524,86000US19341,13635,44724
16525,86000US19342,15618,42324
16526,86000US19343,6502,48010
16527,86000US19344,9495,26794
16528,86000US19345,734,4177
16529,86000US19348,17930,37460
16530,86000US19350,8970,45747
16531,86000US19352,8233,30609
16532,86000US19355,19566,45095
16533,86000US19358,400,24115
16534,86000US19362,4606,31661
16535,86000US19363,12298,29481
16536,86000US19365,5282,33174
16537,86000US19367,81,17163
16538,86000US19372,1379,43750
16539,86000US19373,4204,33429
16540,86000US19374,1276,20761
16541,86000US19375,74,35926
16542,86000US19380,41192,38162
16543,86000US19382,44501,37719
16544,86000US19383,2902,2629
16545,86000US19390,10551,37845
16546,86000US19401,33741,25985
16547,86000US19403,37531,39655
16548,86000US19405,4598,31121
16549,86000US19406,19378,43555
16550,86000US19422,15588,48607
16551,86000US19425,10292,61136
16552,86000US19426,30530,39862
16553,86000US19428,14292,41260
16554,86000US19435,180,34611
16555,86000US19436,596,31625
16556,86000US19437,554,96964
16557,86000US19438,19128,42488
16558,86000US19440,15410,32942
16559,86000US19442,0,.
16560,86000US19444,8659,55758
16561,86000US19446,45419,38342
16562,86000US19453,1158,33736
16563,86000US19454,22690,41432
16564,86000US19456,515,40789
16565,86000US19457,152,40833
16566,86000US19460,32912,38690
16567,86000US19462,12258,39252
16568,86000US19464,36225,29497
16569,86000US19465,13961,39361
16570,86000US19468,20789,35772
16571,86000US19472,17,.
16572,86000US19473,12196,42060
16573,86000US19474,425,45842
16574,86000US19475,9117,32706
16575,86000US19477,102,7122
16576,86000US19492,360,23385
16577,86000US19501,721,27182
16578,86000US19503,1064,25346
16579,86000US19504,4193,34963
16580,86000US19505,2517,29132
16581,86000US19506,5975,29350
16582,86000US19507,2731,30835
16583,86000US19508,13042,32325
16584,86000US19510,5662,34450
16585,86000US19511,212,30114
16586,86000US19512,14635,27673
16587,86000US19518,11250,38805
16588,86000US19519,76,28693
16589,86000US19520,4760,35423
16590,86000US19522,12481,31053
16591,86000US19523,186,42417
16592,86000US19525,11005,39765
16593,86000US19526,9762,25809
16594,86000US19529,2716,29091
16595,86000US19530,14239,15840
16596,86000US19533,6975,22944
16597,86000US19534,1651,32600
16598,86000US19535,48,76635
16599,86000US19536,377,23490
16600,86000US19538,46,60288
16601,86000US19539,4003,33185
16602,86000US19540,9524,31240
16603,86000US19541,3264,33136
16604,86000US19542,0,.
16605,86000US19543,4502,33333
16606,86000US19544,152,27500
16607,86000US19545,467,34342
16608,86000US19547,3604,32539
16609,86000US19549,198,25000
16610,86000US19550,512,13438
16611,86000US19551,4335,27736
16612,86000US19554,308,27768
16613,86000US19555,2869,30150
16614,86000US19559,225,31875
16615,86000US19560,6176,34590
16616,86000US19562,2194,30257
16617,86000US19564,54,25435
16618,86000US19565,7222,28271
16619,86000US19567,4255,27150
16620,86000US19601,25124,15438
16621,86000US19602,13174,14574
16622,86000US19604,20363,16278
16623,86000US19605,15932,28857
16624,86000US19606,27583,31558
16625,86000US19607,18422,29148
16626,86000US19608,18069,36429
16627,86000US19609,7770,32312
16628,86000US19610,13553,32597
16629,86000US19611,7855,22447
16630,86000US19701,32569,39656
16631,86000US19702,42256,33169
16632,86000US19703,11584,30615
16633,86000US19706,1853,27224
16634,86000US19707,12932,49561
16635,86000US19709,28160,39068
16636,86000US19710,18,.
16637,86000US19711,43487,32055
16638,86000US19713,25636,31282
16639,86000US19716,1330,3419
16640,86000US19717,3941,2499
16641,86000US19720,47741,27291
16642,86000US19730,419,35875
16643,86000US19731,126,29821
16644,86000US19732,82,35690
16645,86000US19733,190,26806
16646,86000US19734,8553,39087
16647,86000US19735,0,.
16648,86000US19736,0,.
16649,86000US19801,12495,19470
16650,86000US19802,19831,25423
16651,86000US19803,17574,47560
16652,86000US19804,14786,26459
16653,86000US19805,31591,24119
16654,86000US19806,8760,41150
16655,86000US19807,5980,70000
16656,86000US19808,30904,35850
16657,86000US19809,11815,34474
16658,86000US19810,21256,40070
16659,86000US19901,28828,23717
16660,86000US19902,180,20106
16661,86000US19904,26141,26142
16662,86000US19930,2065,34474
16663,86000US19931,194,35568
16664,86000US19933,6498,23625
16665,86000US19934,10284,29767
16666,86000US19936,242,19471
16667,86000US19938,7100,30125
16668,86000US19939,5440,30187
16669,86000US19940,4148,27223
16670,86000US19941,2374,22603
16671,86000US19943,10019,28784
16672,86000US19944,538,32147
16673,86000US19945,7195,24418
16674,86000US19946,3578,28761
16675,86000US19947,15041,21815
16676,86000US19950,6061,26634
16677,86000US19951,1819,26122
16678,86000US19952,8038,25515
16679,86000US19953,3525,30000
16680,86000US19954,1146,25402
16681,86000US19955,56,31250
16682,86000US19956,11912,25861
16683,86000US19958,18116,27082
16684,86000US19960,5918,24306
16685,86000US19962,7803,29127
16686,86000US19963,15733,26278
16687,86000US19964,1044,31066
16688,86000US19966,22677,24399
16689,86000US19967,408,34000
16690,86000US19968,7640,27554
16691,86000US19970,5561,31651
16692,86000US19971,10659,29983
16693,86000US19973,17674,23846
16694,86000US19975,6860,25534
16695,86000US19977,19846,31117
16696,86000US19979,500,25114
16697,86000US20001,36712,37111
16698,86000US20002,48648,37785
16699,86000US20003,24456,57887
16700,86000US20004,1455,107647
16701,86000US20005,11634,64758
16702,86000US20006,3049,5270
16703,86000US20007,22883,56969
16704,86000US20008,25187,63271
16705,86000US20009,45718,56914
16706,86000US20010,27929,38479
16707,86000US20011,51632,30944
16708,86000US20012,12426,40556
16709,86000US20015,12679,80232
16710,86000US20016,29541,60714
16711,86000US20017,16217,30400
16712,86000US20018,15037,27125
16713,86000US20019,40977,22081
16714,86000US20020,39389,21467
16715,86000US20024,10840,50529
16716,86000US20032,27716,18080
16717,86000US20036,5056,62734
16718,86000US20037,14200,43569
16719,86000US20045,0,.
16720,86000US20052,503,2815
16721,86000US20053,0,.
16722,86000US20057,3886,2499
16723,86000US20064,1723,2824
16724,86000US20105,8997,61950
16725,86000US20106,4266,33563
16726,86000US20109,27789,34938
16727,86000US20110,35359,32437
16728,86000US20111,24324,35923
16729,86000US20112,20309,54007
16730,86000US20115,4974,33571
16731,86000US20117,1948,45057
16732,86000US20118,8,26250
16733,86000US20119,3529,47577
16734,86000US20120,32726,51805
16735,86000US20121,22892,45006
16736,86000US20124,12607,63910
16737,86000US20129,558,62321
16738,86000US20130,226,31106
16739,86000US20132,12672,46079
16740,86000US20135,2417,48556
16741,86000US20136,20851,55650
16742,86000US20137,1241,39667
16743,86000US20139,147,70000
16744,86000US20141,4745,54965
16745,86000US20143,873,62438
16746,86000US20144,1057,52411
16747,86000US20147,42684,54827
16748,86000US20148,21003,82964
16749,86000US20151,16756,43330
16750,86000US20152,18225,71283
16751,86000US20155,23496,54593
16752,86000US20158,3256,49955
16753,86000US20164,29589,35000
16754,86000US20165,25548,62069
16755,86000US20166,7801,53845
16756,86000US20169,15616,62659
16757,86000US20170,32593,41833
16758,86000US20171,36751,70801
16759,86000US20175,21987,50282
16760,86000US20176,35452,48027
16761,86000US20180,4659,54002
16762,86000US20181,6355,42105
16763,86000US20184,686,71360
16764,86000US20186,11808,38874
16765,86000US20187,12305,50614
16766,86000US20190,15245,58561
16767,86000US20191,23439,49340
16768,86000US20194,10940,75461
16769,86000US20197,1051,61974
16770,86000US20198,1828,30063
16771,86000US20202,0,.
16772,86000US20204,0,.
16773,86000US20228,0,.
16774,86000US20230,0,.
16775,86000US20240,0,.
16776,86000US20245,0,.
16777,86000US20260,0,.
16778,86000US20307,127,26518
16779,86000US20317,355,20833
16780,86000US20319,104,21897
16781,86000US20373,68,21534
16782,86000US20390,233,19975
16783,86000US20405,0,.
16784,86000US20418,0,.
16785,86000US20427,0,.
16786,86000US20506,0,.
16787,86000US20510,0,.
16788,86000US20520,0,.
16789,86000US20535,0,.
16790,86000US20540,0,.
16791,86000US20551,0,.
16792,86000US20553,0,.
16793,86000US20560,0,.
16794,86000US20565,0,.
16795,86000US20566,0,.
16796,86000US20593,0,.
16797,86000US20601,19785,44350
16798,86000US20602,19804,39912
16799,86000US20603,23369,53275
16800,86000US20606,341,20278
16801,86000US20607,7889,53738
16802,86000US20608,655,31908
16803,86000US20609,843,33077
16804,86000US20611,868,36575
16805,86000US20612,279,14559
16806,86000US20613,11451,46563
16807,86000US20615,354,48036
16808,86000US20616,5109,41512
16809,86000US20617,816,35978
16810,86000US20618,626,40288
16811,86000US20619,8126,50276
16812,86000US20620,1116,30833
16813,86000US20621,1152,32912
16814,86000US20622,4127,36435
16815,86000US20623,2372,54025
16816,86000US20624,1057,38300
16817,86000US20625,487,33750
16818,86000US20626,232,37917
16819,86000US20628,222,37266
16820,86000US20629,191,82500
16821,86000US20630,209,58713
16822,86000US20632,232,36250
16823,86000US20634,4824,40794
16824,86000US20636,8494,42201
16825,86000US20637,4075,47592
16826,86000US20639,11747,44775
16827,86000US20640,8530,35637
16828,86000US20645,745,49018
16829,86000US20646,15588,44614
16830,86000US20650,10563,43175
16831,86000US20653,19752,33272
16832,86000US20657,15273,42064
16833,86000US20658,833,43864
16834,86000US20659,18323,39104
16835,86000US20660,2,.
16836,86000US20662,2180,36677
16837,86000US20664,2378,33546
16838,86000US20667,509,36351
16839,86000US20670,928,32149
16840,86000US20674,766,51114
16841,86000US20675,1132,40197
16842,86000US20676,2582,43285
16843,86000US20677,2025,52531
16844,86000US20678,9528,35997
16845,86000US20680,1099,33848
16846,86000US20684,669,22067
16847,86000US20685,5434,46551
16848,86000US20686,901,2499
16849,86000US20687,346,31700
16850,86000US20688,1545,40144
16851,86000US20689,1268,52778
16852,86000US20690,380,72391
16853,86000US20692,1190,42776
16854,86000US20693,890,40045
16855,86000US20695,4502,50394
16856,86000US20701,108,2499
16857,86000US20705,20065,40154
16858,86000US20706,29892,34778
16859,86000US20707,25786,38557
16860,86000US20708,19439,38930
16861,86000US20710,7266,25659
16862,86000US20711,5420,36761
16863,86000US20712,7194,29262
16864,86000US20714,3545,41632
16865,86000US20715,22442,40518
16866,86000US20716,16691,51025
16867,86000US20720,17470,53188
16868,86000US20721,21066,61059
16869,86000US20722,4095,25081
16870,86000US20723,23110,51635
16871,86000US20724,12702,45454
16872,86000US20732,8044,42262
16873,86000US20733,2314,44875
16874,86000US20735,29952,45210
16875,86000US20736,7747,42400
16876,86000US20737,15269,28259
16877,86000US20740,25485,21437
16878,86000US20742,8583,2499
16879,86000US20743,30062,31207
16880,86000US20744,42346,45090
16881,86000US20745,24196,32213
16882,86000US20746,22786,35468
16883,86000US20747,30382,34618
16884,86000US20748,31422,38525
16885,86000US20751,1918,47198
16886,86000US20754,5568,45721
16887,86000US20755,6787,33110
16888,86000US20758,517,32500
16889,86000US20759,2388,54049
16890,86000US20762,2310,31328
16891,86000US20763,1465,51054
16892,86000US20764,3548,47238
16893,86000US20765,450,59479
16894,86000US20769,4902,49417
16895,86000US20770,20321,37905
16896,86000US20772,35473,50743
16897,86000US20774,35328,47822
16898,86000US20776,3074,36600
16899,86000US20777,2658,63480
16900,86000US20778,1787,53721
16901,86000US20779,1126,52893
16902,86000US20781,9164,31701
16903,86000US20782,27540,27766
16904,86000US20783,38192,23102
16905,86000US20784,22738,31964
16906,86000US20785,28364,34264
16907,86000US20794,12723,26075
16908,86000US20812,205,66250
16909,86000US20814,23539,64853
16910,86000US20815,25211,73189
16911,86000US20816,12528,81216
16912,86000US20817,28687,75025
16913,86000US20818,1653,82883
16914,86000US20832,20098,51757
16915,86000US20833,5941,59846
16916,86000US20837,4755,45536
16917,86000US20838,192,52917
16918,86000US20839,133,33750
16919,86000US20841,8038,55289
16920,86000US20842,1352,31818
16921,86000US20850,37884,53630
16922,86000US20851,11216,39306
16923,86000US20852,36128,53696
16924,86000US20853,24305,38646
16925,86000US20854,39791,76351
16926,86000US20855,11869,52597
16927,86000US20860,2158,41616
16928,86000US20861,1492,62589
16929,86000US20862,161,45787
16930,86000US20866,10169,41520
16931,86000US20868,884,28125
16932,86000US20871,10812,59106
16933,86000US20872,10334,46852
16934,86000US20874,45441,42215
16935,86000US20876,19964,42585
16936,86000US20877,27743,30337
16937,86000US20878,49510,55599
16938,86000US20879,19649,38074
16939,86000US20880,441,49635
16940,86000US20882,11476,55846
16941,86000US20886,26933,36490
16942,86000US20895,14793,54864
16943,86000US20896,697,67262
16944,86000US20899,115,19375
16945,86000US20901,28555,39704
16946,86000US20902,38691,32551
16947,86000US20903,19630,21372
16948,86000US20904,44651,35345
16949,86000US20905,15541,45602
16950,86000US20906,55019,31332
16951,86000US20910,33913,48460
16952,86000US20912,19718,31290
16953,86000US21001,17601,29940
16954,86000US21005,1589,33277
16955,86000US21009,23081,44681
16956,86000US21010,85,61964
16957,86000US21012,16549,44892
16958,86000US21013,4251,34817
16959,86000US21014,28653,41978
16960,86000US21015,22576,42002
16961,86000US21017,5943,41886
16962,86000US21028,2941,38235
16963,86000US21029,9510,64868
16964,86000US21030,20310,42748
16965,86000US21031,32,.
16966,86000US21032,7116,53499
16967,86000US21034,2824,26943
16968,86000US21035,6142,51486
16969,86000US21036,1912,52153
16970,86000US21037,17069,44942
16971,86000US21040,18825,27505
16972,86000US21042,31325,56135
16973,86000US21043,33652,54420
16974,86000US21044,34406,52524
16975,86000US21045,31999,45036
16976,86000US21046,12639,57670
16977,86000US21047,9697,49397
16978,86000US21048,8989,36270
16979,86000US21050,14419,39329
16980,86000US21051,181,45938
16981,86000US21052,224,23875
16982,86000US21053,2712,30110
16983,86000US21054,7656,51737
16984,86000US21056,195,135865
16985,86000US21057,3401,46607
16986,86000US21060,24286,31946
16987,86000US21061,43635,32492
16988,86000US21071,348,44167
16989,86000US21074,11384,39941
16990,86000US21075,20797,47825
16991,86000US21076,11221,52938
16992,86000US21077,155,57548
16993,86000US21078,15314,31472
16994,86000US21082,353,62361
16995,86000US21084,6489,38782
16996,86000US21085,13289,38573
16997,86000US21087,4711,36122
16998,86000US21090,8289,35768
16999,86000US21093,31084,44387
17000,86000US21102,9161,37491
17001,86000US21104,3671,55055
17002,86000US21105,18,.
17003,86000US21108,14593,43610
17004,86000US21111,3714,41512
17005,86000US21113,24713,49967
17006,86000US21114,20316,54079
17007,86000US21117,45553,42797
17008,86000US21120,5660,42851
17009,86000US21122,48953,40686
17010,86000US21128,11094,42441
17011,86000US21130,274,23063
17012,86000US21131,5505,54875
17013,86000US21132,1668,49232
17014,86000US21133,25264,36368
17015,86000US21136,26778,36556
17016,86000US21140,2699,55938
17017,86000US21144,25058,42284
17018,86000US21146,21191,50585
17019,86000US21152,4721,48750
17020,86000US21153,271,49803
17021,86000US21154,6163,31947
17022,86000US21155,2147,23068
17023,86000US21156,329,41071
17024,86000US21157,31266,33868
17025,86000US21158,15890,36806
17026,86000US21160,1806,35994
17027,86000US21161,4725,35559
17028,86000US21162,2942,34774
17029,86000US21163,5956,60683
17030,86000US21201,14068,23562
17031,86000US21202,20263,17572
17032,86000US21204,17801,29706
17033,86000US21205,12280,14235
17034,86000US21206,40219,29640
17035,86000US21207,39911,27538
17036,86000US21208,27567,37400
17037,86000US21209,22262,44337
17038,86000US21210,13020,41380
17039,86000US21211,15133,34368
17040,86000US21212,26184,36213
17041,86000US21213,24545,19297
17042,86000US21214,16651,32894
17043,86000US21215,51593,19352
17044,86000US21216,21706,20148
17045,86000US21217,31865,17204
17046,86000US21218,42140,21236
17047,86000US21219,7731,30539
17048,86000US21220,32258,30848
17049,86000US21221,32984,28311
17050,86000US21222,44471,26398
17051,86000US21223,18711,13832
17052,86000US21224,41299,27298
17053,86000US21225,26062,21143
17054,86000US21226,5809,30810
17055,86000US21227,27727,28924
17056,86000US21228,40037,37667
17057,86000US21229,35813,25879
17058,86000US21230,28737,36928
17059,86000US21231,14460,32668
17060,86000US21234,56900,33336
17061,86000US21236,31052,38186
17062,86000US21237,25013,32807
17063,86000US21239,25297,26600
17064,86000US21240,0,.
17065,86000US21244,29830,34524
17066,86000US21250,3234,2499
17067,86000US21251,769,2618
17068,86000US21252,2643,3236
17069,86000US21286,17241,34498
17070,86000US21401,31333,44189
17071,86000US21402,5927,11991
17072,86000US21403,25393,42259
17073,86000US21405,413,64853
17074,86000US21409,16167,46370
17075,86000US21502,37206,20659
17076,86000US21520,1634,26097
17077,86000US21521,1123,24425
17078,86000US21522,105,29583
17079,86000US21523,220,21094
17080,86000US21524,424,20991
17081,86000US21529,434,25850
17082,86000US21530,1449,20234
17083,86000US21531,1833,20826
17084,86000US21532,14003,16705
17085,86000US21536,3612,22941
17086,86000US21538,606,16174
17087,86000US21539,2191,20648
17088,86000US21540,71,18438
17089,86000US21541,1220,24763
17090,86000US21542,444,24261
17091,86000US21543,78,17250
17092,86000US21545,1652,25905
17093,86000US21550,11752,21897
17094,86000US21555,1507,24523
17095,86000US21557,1775,23418
17096,86000US21561,2141,30295
17097,86000US21562,2509,22080
17098,86000US21601,19615,29234
17099,86000US21607,498,31319
17100,86000US21610,356,26111
17101,86000US21612,264,40875
17102,86000US21613,14224,23083
17103,86000US21617,7855,40957
17104,86000US21619,4754,34661
17105,86000US21620,10888,23706
17106,86000US21622,622,17351
17107,86000US21623,1626,23919
17108,86000US21624,124,37250
17109,86000US21625,2257,27898
17110,86000US21626,132,14191
17111,86000US21627,24,.
17112,86000US21628,412,36583
17113,86000US21629,7411,29556
17114,86000US21631,2143,36018
17115,86000US21632,4489,23983
17116,86000US21634,360,21289
17117,86000US21635,1806,34590
17118,86000US21636,1025,24030
17119,86000US21638,4118,40670
17120,86000US21639,3800,28189
17121,86000US21640,1020,25827
17122,86000US21641,30,33750
17123,86000US21643,4375,25574
17124,86000US21644,97,71875
17125,86000US21645,834,31063
17126,86000US21647,213,30909
17127,86000US21648,328,20375
17128,86000US21649,1452,21671
17129,86000US21650,69,27375
17130,86000US21651,2509,29261
17131,86000US21652,136,60625
17132,86000US21653,50,25417
17133,86000US21654,818,49464
17134,86000US21655,4203,29393
17135,86000US21657,778,22344
17136,86000US21658,3108,44044
17137,86000US21659,1410,29256
17138,86000US21660,3490,26914
17139,86000US21661,2321,26521
17140,86000US21662,771,32434
17141,86000US21663,3031,33559
17142,86000US21664,608,29053
17143,86000US21665,194,30259
17144,86000US21666,10212,39469
17145,86000US21667,201,47981
17146,86000US21668,1494,31071
17147,86000US21669,173,24861
17148,86000US21671,891,29938
17149,86000US21672,215,27500
17150,86000US21673,2763,30187
17151,86000US21675,76,17500
17152,86000US21676,405,19333
17153,86000US21677,466,25296
17154,86000US21678,2114,23141
17155,86000US21679,363,46029
17156,86000US21701,29908,34205
17157,86000US21702,29480,37691
17158,86000US21703,25440,38988
17159,86000US21704,10564,49793
17160,86000US21705,3,.
17161,86000US21710,3912,51640
17162,86000US21711,749,28897
17163,86000US21713,7703,33782
17164,86000US21714,40,40294
17165,86000US21716,3917,34596
17166,86000US21717,0,.
17167,86000US21718,150,29286
17168,86000US21719,1059,26914
17169,86000US21722,4619,26803
17170,86000US21723,539,68403
17171,86000US21727,5363,13155
17172,86000US21733,912,30500
17173,86000US21734,826,25862
17174,86000US21737,1001,82188
17175,86000US21738,2718,80480
17176,86000US21740,48701,23939
17177,86000US21742,26349,31170
17178,86000US21746,2835,4946
17179,86000US21750,3180,24265
17180,86000US21754,5045,43000
17181,86000US21755,4627,42752
17182,86000US21756,2571,41515
17183,86000US21757,2326,31913
17184,86000US21758,4021,41618
17185,86000US21762,150,30852
17186,86000US21766,486,21964
17187,86000US21767,759,20824
17188,86000US21769,9144,42897
17189,86000US21770,4593,45539
17190,86000US21771,22809,43274
17191,86000US21773,4484,38538
17192,86000US21774,9158,56059
17193,86000US21776,4294,39034
17194,86000US21777,1197,50064
17195,86000US21778,1073,34929
17196,86000US21779,839,40096
17197,86000US21780,1447,28484
17198,86000US21781,74,6250
17199,86000US21782,3818,29100
17200,86000US21783,7190,33709
17201,86000US21784,31380,43360
17202,86000US21787,8952,31568
17203,86000US21788,9656,35335
17204,86000US21790,41,28403
17205,86000US21791,4469,37221
17206,86000US21793,8227,39808
17207,86000US21794,2129,70445
17208,86000US21795,7821,29144
17209,86000US21797,6874,48216
17210,86000US21798,2191,40121
17211,86000US21801,25043,21882
17212,86000US21802,47,11417
17213,86000US21804,31272,23041
17214,86000US21810,165,48079
17215,86000US21811,18325,27246
17216,86000US21813,2303,41563
17217,86000US21814,411,26591
17218,86000US21817,3745,20622
17219,86000US21821,742,20664
17220,86000US21822,1608,22188
17221,86000US21824,107,13750
17222,86000US21826,4024,28421
17223,86000US21829,619,27370
17224,86000US21830,2890,31171
17225,86000US21835,598,23333
17226,86000US21837,2241,26944
17227,86000US21838,1464,27039
17228,86000US21840,410,20197
17229,86000US21841,901,26322
17230,86000US21842,10005,31099
17231,86000US21849,2990,30401
17232,86000US21850,2145,28571
17233,86000US21851,6005,24798
17234,86000US21853,9314,15409
17235,86000US21856,685,19675
17236,86000US21861,693,27875
17237,86000US21862,427,18466
17238,86000US21863,4294,26226
17239,86000US21864,660,28616
17240,86000US21865,664,14162
17241,86000US21866,45,10972
17242,86000US21867,34,36389
17243,86000US21869,492,27206
17244,86000US21871,2985,20824
17245,86000US21872,450,19318
17246,86000US21874,1993,27310
17247,86000US21875,5040,21274
17248,86000US21890,2902,19000
17249,86000US21901,13472,30991
17250,86000US21902,181,11029
17251,86000US21903,5171,26313
17252,86000US21904,6040,30776
17253,86000US21911,8902,33760
17254,86000US21912,767,33500
17255,86000US21913,543,26714
17256,86000US21914,473,33894
17257,86000US21915,2450,37319
17258,86000US21916,34,6667
17259,86000US21917,2037,36346
17260,86000US21918,3525,32931
17261,86000US21919,3221,26534
17262,86000US21920,146,24519
17263,86000US21921,33967,32141
17264,86000US21930,116,29265
17265,86000US22003,47157,36458
17266,86000US22015,35361,50035
17267,86000US22025,13409,54330
17268,86000US22026,11337,35403
17269,86000US22027,2073,66771
17270,86000US22030,46377,39489
17271,86000US22031,25725,49838
17272,86000US22032,24128,49175
17273,86000US22033,31071,52320
17274,86000US22035,0,.
17275,86000US22039,15061,81588
17276,86000US22041,21901,31459
17277,86000US22042,26375,39152
17278,86000US22043,20972,49153
17279,86000US22044,10618,41058
17280,86000US22046,13192,55807
17281,86000US22060,6454,45694
17282,86000US22066,15270,74812
17283,86000US22079,25104,47106
17284,86000US22101,24214,85575
17285,86000US22102,18527,66186
